,sna,tot,sbi,sarea,mday,ar,bemp,act
176,YouBike2.0_重慶國中,37,4,大同區,2023-06-10 13:38:13,敦煌路19號前,33,1
181,YouBike2.0_大稻埕公園,25,3,大同區,2023-06-10 14:17:38,安西街1巷7號(對側),22,1
182,YouBike2.0_大龍老人住宅,14,0,大同區,2023-06-10 14:17:28,民族西路82號前方,14,1
183,YouBike2.0_大龍峒社會住宅,20,1,大同區,2023-06-10 14:14:04,承德路三段210號旁,19,1
185,YouBike2.0_捷運大橋頭站(1A出口),18,1,大同區,2023-06-10 14:06:15,民權西路237號旁,17,1
186,YouBike2.0_捷運民權西路站(2號出口),25,3,大同區,2023-06-10 14:17:38,捷運民權西路站(2號出口)西側,22,1
189,YouBike2.0_朝陽公園,10,5,大同區,2023-06-10 14:19:13,重慶北路二段62-1號旁,5,1
192,YouBike2.0_重慶涼州街口,13,0,大同區,2023-06-10 14:04:04,重慶北路二段180號旁,13,1
193,YouBike2.0_圓山線形公園,14,3,大同區,2023-06-10 14:13:14,玉門街/民族西路(西北側),11,1
195,YouBike2.0_重慶民族路口,20,4,大同區,2023-06-10 14:17:38,重慶北路三段162號前,16,1
196,YouBike2.0_承德路三段8巷口,16,1,大同區,2023-06-10 14:15:15,承德路三段14號前,15,1
198,YouBike2.0_國順公園,20,3,大同區,2023-06-10 14:17:38,昌吉街117號前,17,1
199,YouBike2.0_聯合醫院中興院區,27,0,大同區,2023-06-10 14:19:03,長安西路299號(對面),27,1
200,YouBike2.0_蔣渭水紀念公園,24,1,大同區,2023-06-10 14:19:13,錦西街/興城街口(西南側),23,1
201,YouBike2.0_迪化休閒運動公園,15,2,大同區,2023-06-10 14:00:54,延平北路四段200號(南側),13,1
203,YouBike2.0_重慶保安街口(家樂福重慶店),20,2,大同區,2023-06-10 14:18:14,重慶北路二段171號(旁),18,1
205,YouBike2.0_歸綏戲曲公園,20,4,大同區,2023-06-10 14:14:14,重慶北路二段/歸綏街口(南側),16,1
206,YouBike2.0_民權國中(民權西路),17,1,大同區,2023-06-10 13:14:04,民權西路/蘭州街(西側),15,1
207,YouBike2.0_承德民權路口,17,3,大同區,2023-06-10 14:17:38,承德路二段239號前,14,1
208,YouBike2.0_南京太原路口,18,2,大同區,2023-06-10 14:17:38,南京西路/太原路(東側),16,1
210,YouBike2.0_太原五原路口,24,5,大同區,2023-06-10 14:19:13,太原路 / 五原路口(東南側),19,1
213,YouBike2.0_捷運中山站(5號出口),11,2,大同區,2023-06-10 14:18:14,南京西路57號前,9,1
214,YouBike2.0_重慶長安路口,15,5,大同區,2023-06-10 14:14:14,長安西路244號(重慶路側),10,1
215,YouBike2.0_承德昌吉街口,18,5,大同區,2023-06-10 14:17:38,承德路三段83號前,13,1
218,YouBike2.0_樹德公園_1,21,2,大同區,2023-06-10 14:17:38,大龍街/大龍街85巷(東北側),19,1
219,YouBike2.0_承德鄭州路口(市民高架下),38,3,大同區,2023-06-10 14:10:20,承德路一段/鄭州路口(市民高架下),35,1
220,YouBike2.0_成淵高中,14,0,大同區,2023-06-10 14:19:13,錦西街與錦西街52巷口東北側,14,1
